lon,lat,Name,Address,Line
-77.05242032,38.92509293,Woodley Park-Zoo Adams Morgan,"2700 24TH STREET NW, WASHINGTON, DC",red
-77.21008129,38.92452955,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver
-77.2338802,38.92096318,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver
-76.99593919,38.92106748,Rhode Island Ave,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red
-77.22171803,38.92068205,Tysons Corner,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver
-77.02749818,38.91701019,U St/African-Amer Civil War Memorial/Cardozo,"1300 U STREET NW, WASHINGTON, DC","green, yellow"
-76.9166303,38.91663965,Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD",orange
-77.02191399,38.91348466,Shaw-Howard Univ,"1701 8TH STREET NW, WASHINGTON, DC","green, yellow"
-77.04341665,38.90960585,Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",red
-76.93525904,38.90818629,Deanwood,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange
-77.00302273,38.907024,NoMa - Gallaudet U,"200 FLORIDA AVENUE NE, WASHINGTON, DC",red
-77.02191667,38.9064446,Mt Vernon Sq - 7th St Convention Center,"700 M STREET NW, WASHINGTON, DC","green, yellow"
-77.03970312,38.90320973,Farragut North,"1001 CONNECTICUT AVENUE NW, WASHINGTON, DC",red
-77.03363646,38.90134058,McPherson Sq,"1400 I STREET NW, WASHINGTON, DC","blue, orange, silver"
-77.04069771,38.90132068,Farragut West,"900 18TH STREET NW, WASHINGTON, DC","blue, orange, silver"
-77.18909716,38.90078833,West Falls Church VT/UVA,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange
-77.05028003,38.90070579,Foggy Bottom GWU,"2301 I STREET NW, WASHINGTON, DC","blue, orange, silver"
-76.84455387,38.90060752,Largo Town Center," LARGO TOWN CENTER, 9000 LOTTSFORD ROAD, LARGO, MD","blue, silver"
-76.94674999,38.89919901,Minnesota Ave,"400 MINNESOTA AVENUE NE, WASHINGTON, DC",orange
-77.02191767,38.8983246,Gallery Pl-Chinatown,"630 H STREET NW, WASHINGTON, DC","red, green, yellow"
-77.02808028,38.89832226,Metro Center,"607 13TH STREET NW, WASHINGTON, DC","red, blue, orange, silver"
-77.00741657,38.89777383,Union Station,"701 1ST STREET NE, WASHINGTON, DC",red
-77.01664124,38.8960981,Judiciary Sq,"450 F STREET NW, WASHINGTON, DC",red
-77.07091098,38.89598688,Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver"
-76.868077,38.89384272,Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, silver"
-77.02191667,38.89367301,Archives-Navy Mem'l,"701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC","green, yellow"
-77.02813428,38.89318866,Federal Triangle,"302 12TH STREET NW, WASHINGTON, DC","blue, silver"
-76.93836713,38.89098346,Benning Road,"4500 BENNING ROAD NE, WASHINGTON, DC","blue, silver"
-77.08713354,38.89018331,Court House,"2100 WILSON BLVD, ARLINGTON, VA","orange, silver"
-76.91181036,38.88947365,Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, silver"
-77.02806852,38.88802649,Smithsonian,"1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC","blue, silver"
-76.89411015,38.88675561,Addison Road Seat Pleasant,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, silver"
-77.09539641,38.88671262,Clarendon,"3100 WILSON BLVD, ARLINGTON, VA","orange, silver"
-76.97709117,38.88671688,Stadium Armory,"192 19TH STREET SE, WASHINGTON, DC","blue, orange, silver"
-77.15688535,38.88596094,East Falls Church,"2001 N. SYCAMORE ST., ARLINGTON, VA","orange, silver"
-77.0158705,38.88508014,Federal Center SW,"401 3RD STREET SW, WASHINGTON, DC","blue, orange, silver"
-77.0051417,38.88507028,Capitol South,"355 1ST STREET SE, WASHINGTON, DC","blue, orange, silver"
-77.02191077,38.88484551,L'Enfant Plaza,"600 MARYLAND AVENUE SW, WASHINGTON, DC","green, yellow, orange, blue, silver"
